,temperatura,temperatura_max,temperatura_min,precipitacion,humedad_relativa,presion_atmosferica,velocidad_viento,direccion_viento,nubosidad,radiacion_solar,punto_rocio,grados_dia,confort_termico
2025-09-07 11:32:34.105103,15.14,22.51,8.06,0.0,85.05,986.69,5.72,258.36,22.3,689.64,12.15,5.14,0
2025-09-07 12:32:34.105103,10.21,16.19,5.3,0.0,77.34,989.13,5.15,264.18,41.65,465.29,5.68,0.21,0
2025-09-07 13:32:34.105103,9.24,15.24,1.85,0.0,86.2,983.14,4.59,255.25,32.55,664.95,6.48,0.0,0
2025-09-07 14:32:34.105103,4.81,11.14,-2.53,0.0,95.74,990.21,5.9,182.62,42.99,354.33,3.96,0.0,0
2025-09-07 15:32:34.105103,5.33,9.2,-1.7,0.0,96.25,993.96,3.47,299.49,42.2,461.91,4.58,0.0,0
2025-09-07 16:32:34.105103,5.69,13.26,-1.27,0.0,90.92,985.25,6.82,243.57,27.75,558.92,3.87,0.0,0
2025-09-07 17:32:34.105103,2.56,7.66,-1.96,0.0,98.33,987.92,4.72,356.76,32.63,472.13,2.23,0.0,0
2025-09-07 18:32:34.105103,5.41,10.33,2.01,0.0,81.44,990.66,4.75,318.33,45.4,298.65,1.7,0.0,0
2025-09-07 19:32:34.105103,3.66,9.26,-1.35,0.0,93.22,993.43,9.39,264.55,45.6,250.42,2.31,0.0,0
2025-09-07 20:32:34.105103,4.88,8.11,1.01,0.0,96.95,988.33,3.04,274.25,53.97,206.31,4.27,0.0,0
2025-09-07 21:32:34.105103,5.21,9.04,-1.26,0.0,89.27,987.6,6.3,211.7,42.88,215.66,3.07,0.0,0
2025-09-07 22:32:34.105103,11.36,18.05,6.63,0.0,85.25,983.77,8.8,306.34,39.05,156.31,8.41,1.36,0
2025-09-07 23:32:34.105103,9.08,12.49,1.2,0.0,90.62,989.98,5.94,266.56,23.05,132.36,7.2,0.0,0
2025-09-08 00:32:34.105103,8.49,14.51,2.29,0.0,87.55,995.73,5.2,227.52,36.07,0.0,6.0,0.0,0
2025-09-08 01:32:34.105103,13.8,18.03,6.69,0.0,82.15,990.44,4.64,245.73,35.8,55.65,10.23,3.8,0
2025-09-08 02:32:34.105103,11.16,16.11,7.5,0.0,80.44,989.54,6.81,211.66,54.75,46.69,7.25,1.16,0
2025-09-08 03:32:34.105103,15.27,19.71,7.96,0.0,78.07,990.57,5.82,319.17,40.9,161.62,10.88,5.27,0
2025-09-08 04:32:34.105103,11.88,16.66,4.27,0.0,87.23,989.57,4.2,223.65,53.97,234.86,9.33,1.88,0
2025-09-08 05:32:34.105103,13.74,20.34,8.31,0.0,82.17,987.17,4.63,242.22,42.06,287.58,10.18,3.74,0
2025-09-08 06:32:34.105103,17.0,21.49,10.97,0.0,73.57,992.08,5.8,266.59,24.67,556.47,11.71,7.0,0
2025-09-08 07:32:34.105103,17.88,23.71,11.05,0.0,76.3,990.28,3.33,310.69,34.32,426.51,13.14,7.88,0
2025-09-08 08:32:34.105103,16.14,21.52,12.27,0.0,81.36,989.66,3.75,220.05,38.04,432.25,12.42,6.14,0
2025-09-08 09:32:34.105103,14.62,20.94,9.1,0.0,69.82,986.68,8.39,270.95,20.52,592.74,8.58,4.62,0
2025-09-08 10:32:34.105103,13.0,20.69,8.01,0.0,88.29,993.52,4.1,272.27,35.3,468.06,10.66,3.0,0
2025-09-08 11:32:34.105103,9.2,15.86,5.47,0.0,86.52,991.6,3.1,302.03,36.2,503.14,6.5,0.0,0
2025-09-08 12:32:34.105103,9.17,13.24,4.33,0.0,90.38,987.95,5.93,263.18,56.25,406.43,7.24,0.0,0
2025-09-08 13:32:34.105103,8.13,11.29,4.79,0.0,95.79,992.61,8.35,189.92,22.09,623.67,7.29,0.0,0
2025-09-08 14:32:34.105103,9.72,14.03,6.59,0.0,80.56,988.11,2.99,203.37,47.34,367.26,5.83,0.0,0
2025-09-08 15:32:34.105103,7.05,13.03,3.37,0.0,87.88,987.26,7.31,38.4,29.57,474.29,4.63,0.0,0
2025-09-08 16:32:34.105103,1.88,5.14,-5.93,0.0,97.73,987.33,8.78,193.86,30.15,461.46,1.43,0.0,0
2025-09-08 17:32:34.105103,5.46,10.94,-0.29,0.0,89.89,984.29,7.12,229.39,51.75,309.95,3.44,0.0,0
2025-09-08 18:32:34.105103,3.84,9.82,-3.99,0.0,100.0,991.02,4.52,247.03,52.32,329.4,3.84,0.0,0
2025-09-08 19:32:34.105103,3.46,8.13,-1.71,0.0,92.53,984.11,7.49,252.69,53.81,157.92,1.96,0.0,0
2025-09-08 20:32:34.105103,6.63,13.49,2.07,0.0,89.27,985.92,7.84,307.94,47.64,193.43,4.49,0.0,0
2025-09-08 21:32:34.105103,8.43,11.96,2.89,0.0,90.38,983.38,3.15,334.37,60.79,127.25,6.5,0.0,0
2025-09-08 22:32:34.105103,9.47,12.84,4.27,0.0,81.79,989.35,6.6,178.65,41.48,29.48,5.83,0.0,0
2025-09-08 23:32:34.105103,7.37,14.02,3.85,0.0,88.96,989.16,4.98,165.54,37.92,23.15,5.17,0.0,0
2025-09-09 00:32:34.105103,9.94,15.41,3.73,0.0,88.68,988.56,4.88,180.02,42.77,0.0,7.67,0.0,0
2025-09-09 01:32:34.105103,12.77,19.21,8.69,0.0,81.18,986.42,2.64,251.95,48.03,14.47,9.01,2.77,0
2025-09-09 02:32:34.105103,15.51,20.68,9.41,0.0,78.28,986.03,2.52,303.74,26.34,162.1,11.16,5.51,0
2025-09-09 03:32:34.105103,13.84,18.07,7.59,0.0,78.6,990.94,4.97,254.62,27.78,213.07,9.56,3.84,0
2025-09-09 04:32:34.105103,15.38,22.47,11.62,0.0,71.36,987.89,4.49,335.5,27.59,261.88,9.65,5.38,0
2025-09-09 05:32:34.105103,14.14,21.13,10.83,0.0,82.4,990.49,4.47,266.71,15.16,434.6,10.62,4.14,0
2025-09-09 06:32:34.105103,14.16,20.64,7.26,0.0,89.53,986.89,4.28,323.62,41.15,419.08,12.07,4.16,0
2025-09-09 07:32:34.105103,17.97,22.34,12.68,0.0,75.13,990.09,3.27,262.61,13.7,629.67,13.0,7.97,0
2025-09-09 08:32:34.105103,18.46,24.41,15.17,0.0,75.43,993.45,6.81,200.96,33.25,366.34,13.55,8.46,0
2025-09-09 09:32:34.105103,14.65,19.46,6.68,0.0,83.48,991.3,8.7,200.37,45.4,432.44,11.35,4.65,0
2025-09-09 10:32:34.105103,15.56,19.02,12.27,0.0,72.31,988.31,2.84,257.2,26.39,559.94,10.02,5.56,0
2025-09-09 11:32:34.105103,12.83,20.42,6.36,0.0,91.27,990.31,6.32,262.23,57.4,345.61,11.08,2.83,0
2025-09-09 12:32:34.105103,9.26,12.95,1.35,0.0,89.12,988.82,3.01,309.36,24.95,580.46,7.09,0.0,0
2025-09-09 13:32:34.105103,9.72,17.48,5.53,0.0,95.57,989.57,4.26,348.57,54.7,365.19,8.84,0.0,0
2025-09-09 14:32:34.105103,10.63,15.86,6.92,0.0,82.39,988.57,5.65,263.23,42.95,448.45,7.11,0.63,0
2025-09-09 15:32:34.105103,6.24,10.17,2.63,0.0,100.0,989.05,3.6,219.85,27.84,504.39,6.24,0.0,0
2025-09-09 16:32:34.105103,8.49,14.2,3.97,0.0,93.14,990.18,3.4,302.95,68.68,172.17,7.12,0.0,0
2025-09-09 17:32:34.105103,-0.48,6.88,-3.99,0.0,100.0,986.56,4.72,280.73,44.36,330.69,-0.48,0.0,0
2025-09-09 18:32:34.105103,6.2,12.86,-0.26,0.0,93.87,986.5,6.77,226.94,33.16,389.81,4.97,0.0,0
2025-09-09 19:32:34.105103,4.93,11.97,1.62,0.0,93.36,985.38,3.85,342.2,27.61,382.5,3.6,0.0,0
2025-09-09 20:32:34.105103,4.76,11.05,-0.79,0.0,100.0,984.74,3.4,317.17,42.8,271.47,4.76,0.0,0
2025-09-09 21:32:34.105103,6.5,12.96,-1.49,0.0,92.96,985.89,3.94,16.73,40.21,158.35,5.09,0.0,0
2025-09-09 22:32:34.105103,3.58,10.83,-3.49,0.0,86.8,990.02,7.71,181.85,39.42,139.62,0.94,0.0,0
2025-09-09 23:32:34.105103,8.56,12.81,2.49,0.0,83.57,986.86,4.76,299.54,33.81,117.24,5.28,0.0,0
2025-09-10 00:32:34.105103,11.22,16.67,6.69,0.0,84.24,991.02,4.9,311.2,43.45,58.28,8.07,1.22,0
2025-09-10 01:32:34.105103,15.01,19.12,8.89,0.0,81.03,989.59,4.09,283.18,31.64,68.44,11.22,5.01,0
2025-09-10 02:32:34.105103,12.47,20.41,6.83,0.0,83.01,983.58,4.37,308.04,17.16,160.48,9.07,2.47,0
2025-09-10 03:32:34.105103,13.13,20.85,8.0,0.0,88.4,991.45,6.37,314.27,37.71,200.27,10.81,3.13,0
2025-09-10 04:32:34.105103,14.7,17.89,11.04,0.0,70.2,991.91,4.96,227.33,6.42,316.82,8.74,4.7,0
2025-09-10 05:32:34.105103,18.13,24.66,10.7,0.0,75.52,986.5,9.95,250.28,36.3,300.55,13.24,8.13,0
2025-09-10 06:32:34.105103,17.16,24.79,11.91,0.0,67.17,990.74,3.9,292.65,18.79,496.62,10.6,7.16,0
2025-09-10 07:32:34.105103,15.24,19.14,11.27,0.0,82.94,986.91,8.37,211.74,38.1,424.95,11.83,5.24,0
2025-09-10 08:32:34.105103,16.73,22.57,11.89,0.0,76.44,989.77,2.86,224.89,46.36,358.12,12.01,6.73,0
2025-09-10 09:32:34.105103,14.94,22.52,9.87,0.0,81.69,985.69,4.98,267.3,26.36,555.2,11.28,4.94,0
2025-09-10 10:32:34.105103,15.44,18.61,8.3,0.0,74.52,984.1,4.71,250.06,42.87,400.23,10.35,5.44,0
2025-09-10 11:32:34.105103,10.65,17.14,3.99,0.0,92.42,988.33,8.41,242.92,36.87,535.86,9.14,0.65,0
2025-09-10 12:32:34.105103,9.85,14.34,3.0,0.0,92.43,989.11,4.13,249.28,58.75,326.12,8.34,0.0,0
2025-09-10 13:32:34.105103,8.17,15.79,5.11,0.0,92.67,988.29,9.76,273.5,37.68,480.49,6.7,0.0,0
2025-09-10 14:32:34.105103,4.58,12.43,-0.5,0.0,94.49,985.93,2.78,186.43,33.84,493.18,3.48,0.0,0
2025-09-10 15:32:34.105103,6.85,14.58,1.45,0.0,94.62,988.28,3.52,251.4,49.18,372.46,5.78,0.0,0
2025-09-10 16:32:34.105103,5.83,11.2,2.73,0.0,89.72,990.29,3.6,226.99,35.5,424.46,3.77,0.0,0
2025-09-10 17:32:34.105103,4.72,12.03,0.42,0.0,99.2,989.35,2.96,279.9,36.18,437.93,4.56,0.0,0
2025-09-10 18:32:34.105103,4.04,11.26,-2.77,0.0,100.0,990.03,4.73,245.58,40.22,318.39,4.04,0.0,0
2025-09-10 19:32:34.105103,1.88,6.47,-1.81,0.0,100.0,987.47,4.21,214.03,44.55,349.68,1.88,0.0,0
2025-09-10 20:32:34.105103,4.47,11.61,-1.21,0.0,91.65,993.0,7.28,285.13,54.25,256.27,2.8,0.0,0
2025-09-10 21:32:34.105103,5.58,8.76,1.5,0.0,95.44,985.95,3.04,240.64,23.38,189.99,4.67,0.0,0
2025-09-10 22:32:34.105103,5.9,11.88,2.84,0.0,86.68,990.94,12.18,355.11,38.57,130.67,3.24,0.0,0
2025-09-10 23:32:34.105103,8.63,12.78,4.42,0.0,91.92,993.03,9.46,267.53,47.21,22.59,7.01,0.0,0
2025-09-11 00:32:34.105103,11.27,14.87,3.39,0.0,87.35,990.87,3.7,279.19,40.61,0.0,8.74,1.27,0
2025-09-11 01:32:34.105103,15.78,19.17,8.78,0.0,68.98,988.81,6.21,211.87,42.59,160.07,9.58,5.78,0
2025-09-11 02:32:34.105103,13.81,20.29,6.01,0.0,75.48,987.84,3.72,230.46,32.0,125.43,8.9,3.81,0
2025-09-11 03:32:34.105103,15.22,19.92,9.78,0.0,77.76,992.53,6.13,328.18,32.03,226.08,10.77,5.22,0
2025-09-11 04:32:34.105103,15.51,22.13,11.96,0.0,77.24,985.15,2.89,222.05,39.54,268.9,10.95,5.51,0
2025-09-11 05:32:34.105103,12.42,15.74,6.68,0.0,77.33,986.51,6.02,215.89,34.66,268.19,7.88,2.42,0
2025-09-11 06:32:34.105103,16.4,20.98,11.13,0.0,79.34,988.23,3.98,279.94,30.76,348.9,12.27,6.4,0
2025-09-11 07:32:34.105103,16.37,22.07,9.15,0.0,78.7,993.14,2.79,235.94,39.51,323.62,12.11,6.37,0
2025-09-11 08:32:34.105103,20.58,27.53,17.09,0.0,70.16,990.56,4.56,294.59,23.55,485.34,14.61,10.58,0
2025-09-11 09:32:34.105103,14.32,18.91,8.87,0.0,76.75,986.52,4.66,231.47,27.26,395.11,9.67,4.32,0
2025-09-11 10:32:34.105103,14.06,20.19,10.31,0.0,86.15,988.49,5.03,269.28,32.8,546.54,11.29,4.06,0
2025-09-11 11:32:34.105103,11.94,19.37,7.32,0.0,92.36,987.58,9.82,239.74,54.71,461.9,10.41,1.94,0
2025-09-11 12:32:34.105103,8.12,14.2,1.43,0.0,87.4,987.29,3.99,218.13,6.49,755.47,5.6,0.0,0
2025-09-11 13:32:34.105103,11.19,15.36,5.81,0.0,82.15,992.36,4.37,280.89,40.03,404.82,7.62,1.19,0
2025-09-11 14:32:34.105103,8.96,12.08,4.08,0.0,91.01,985.31,2.84,245.35,40.85,424.94,7.16,0.0,0
2025-09-11 15:32:34.105103,7.8,15.15,2.82,0.0,88.51,994.25,5.45,264.08,22.45,550.24,5.5,0.0,0
2025-09-11 16:32:34.105103,3.44,6.55,-1.85,0.0,96.14,991.91,4.42,229.13,46.17,322.09,2.67,0.0,0
2025-09-11 17:32:34.105103,7.47,14.84,0.54,0.0,94.5,992.69,3.11,253.48,47.01,379.35,6.37,0.0,0
2025-09-11 18:32:34.105103,1.65,7.3,-5.81,0.0,89.97,988.03,4.92,285.29,45.88,346.65,-0.35,0.0,0
2025-09-11 19:32:34.105103,5.84,13.53,-1.94,0.0,99.84,988.97,3.29,245.57,18.4,339.62,5.8,0.0,0
2025-09-11 20:32:34.105103,9.64,16.64,2.71,0.0,87.9,985.12,11.37,270.03,52.61,225.8,7.22,0.0,0
2025-09-11 21:32:34.105103,4.23,12.22,-0.34,0.0,93.59,987.85,4.1,265.58,34.42,277.12,2.95,0.0,0
2025-09-11 22:32:34.105103,6.33,11.08,-0.12,0.0,92.07,990.9,3.03,256.0,47.9,203.01,4.74,0.0,0
2025-09-11 23:32:34.105103,9.1,15.94,3.92,0.0,88.16,993.31,5.92,296.14,46.49,199.14,6.74,0.0,0
2025-09-12 00:32:34.105103,9.41,14.42,5.13,0.0,79.23,986.04,2.95,146.46,25.85,0.0,5.25,0.0,0
2025-09-12 01:32:34.105103,8.86,14.26,1.66,0.0,96.18,988.27,7.01,225.55,49.69,193.74,8.1,0.0,0
2025-09-12 02:32:34.105103,13.55,19.69,10.36,0.0,81.88,988.91,2.92,229.82,32.09,122.91,9.93,3.55,0
2025-09-12 03:32:34.105103,12.53,19.9,5.02,0.0,85.42,985.18,6.36,274.06,17.0,224.49,9.61,2.53,0
2025-09-12 04:32:34.105103,16.56,24.48,11.25,0.0,81.92,991.14,7.23,215.21,47.64,225.8,12.94,6.56,0
2025-09-12 05:32:34.105103,14.37,21.21,8.18,0.0,75.34,987.19,9.07,274.64,24.92,336.55,9.44,4.37,0
2025-09-12 06:32:34.105103,19.51,24.6,13.22,0.0,75.1,988.78,3.42,261.57,24.0,449.85,14.53,9.51,0
2025-09-12 07:32:34.105103,14.64,19.75,7.17,0.0,78.7,988.01,6.83,285.16,30.32,376.25,10.38,4.64,0
2025-09-12 08:32:34.105103,14.97,21.65,8.78,0.0,83.79,987.0,7.54,240.84,39.62,406.42,11.72,4.97,0
2025-09-12 09:32:34.105103,16.28,20.48,10.21,0.0,66.94,989.35,3.59,168.01,27.9,597.19,9.67,6.28,0
2025-09-12 10:32:34.105103,10.95,14.5,7.62,0.0,85.08,988.72,2.66,221.15,43.02,437.46,7.97,0.95,0
2025-09-12 11:32:34.105103,12.42,17.19,6.83,0.0,80.35,988.25,2.91,273.5,21.78,627.47,8.49,2.42,0
2025-09-12 12:32:34.105103,13.03,17.46,9.28,0.0,84.62,987.18,2.93,252.05,29.89,584.67,9.95,3.03,0
2025-09-12 13:32:34.105103,5.65,10.13,-1.04,0.0,95.88,990.32,4.13,293.52,41.78,520.3,4.82,0.0,0
2025-09-12 14:32:34.105103,7.78,11.95,2.22,0.0,86.79,994.33,5.22,198.06,57.37,246.63,5.14,0.0,0
2025-09-12 15:32:34.105103,6.69,9.9,0.29,0.0,88.4,989.79,3.83,247.02,38.06,487.0,4.37,0.0,0
2025-09-12 16:32:34.105103,6.78,9.87,3.57,0.0,91.28,992.35,4.9,256.16,51.49,322.68,5.04,0.0,0
2025-09-12 17:32:34.105103,2.14,10.08,-1.28,6.43,100.0,985.2,8.06,157.42,85.39,101.09,2.14,0.0,0
2025-09-12 18:32:34.105103,1.77,6.91,-4.81,0.0,100.0,989.84,3.63,235.08,40.16,391.48,1.77,0.0,0
2025-09-12 19:32:34.105103,5.66,10.58,2.3,0.0,91.66,986.07,4.42,216.81,38.36,240.47,3.99,0.0,0
2025-09-12 20:32:34.105103,5.81,12.21,2.45,0.0,78.75,984.94,5.98,299.11,32.69,218.61,1.56,0.0,0
2025-09-12 21:32:34.105103,6.67,10.76,3.61,0.0,90.12,987.15,5.73,237.05,46.1,68.25,4.7,0.0,0
2025-09-12 22:32:34.105103,8.11,15.86,0.32,0.0,84.65,992.94,5.87,206.43,51.07,73.85,5.04,0.0,0
2025-09-12 23:32:34.105103,7.5,14.43,0.81,0.0,82.59,992.22,3.86,224.8,39.89,129.29,4.02,0.0,0
2025-09-13 00:32:34.105103,10.84,14.28,6.07,0.0,79.56,990.04,6.44,194.87,46.65,0.0,6.75,0.84,0
2025-09-13 01:32:34.105103,12.51,17.6,8.03,0.0,83.78,984.72,4.89,189.54,27.24,8.97,9.27,2.51,0
2025-09-13 02:32:34.105103,11.94,19.34,7.19,0.0,90.73,988.72,2.98,254.88,36.22,107.78,10.09,1.94,0
2025-09-13 03:32:34.105103,18.34,26.07,11.47,0.0,76.05,990.22,4.71,294.05,25.78,152.82,13.55,8.34,0
2025-09-13 04:32:34.105103,16.51,21.85,10.21,0.0,74.2,989.84,4.15,228.73,35.24,202.77,11.35,6.51,0
2025-09-13 05:32:34.105103,13.78,19.85,9.86,2.0,98.6,983.78,2.41,213.58,80.71,113.37,13.5,3.78,0
2025-09-13 06:32:34.105103,17.68,21.52,13.81,0.0,73.18,986.64,11.37,186.92,38.89,287.01,12.32,7.68,0
2025-09-13 07:32:34.105103,14.22,22.17,10.72,0.0,77.2,989.12,4.71,219.95,24.29,536.14,9.66,4.22,0
2025-09-13 08:32:34.105103,17.14,21.3,10.84,0.0,70.52,990.92,10.84,287.97,30.69,476.65,11.24,7.14,0
2025-09-13 09:32:34.105103,16.93,24.64,10.11,0.0,67.85,982.72,5.51,188.77,35.79,478.85,10.5,6.93,0
2025-09-13 10:32:34.105103,11.73,17.98,7.4,0.82,97.46,988.83,3.2,249.27,63.08,271.41,11.22,1.73,0
2025-09-13 11:32:34.105103,13.85,19.89,10.75,0.0,82.01,989.74,3.07,244.51,57.22,377.92,10.25,3.85,0
2025-09-13 12:32:34.105103,11.2,16.76,7.79,0.0,84.72,991.86,5.4,210.51,34.53,562.92,8.14,1.2,0
2025-09-13 13:32:34.105103,10.46,14.62,2.62,0.0,84.23,991.39,5.03,330.92,16.86,676.16,7.31,0.46,0
2025-09-13 14:32:34.105103,11.16,15.05,6.69,0.0,80.53,991.06,3.58,250.1,36.84,516.28,7.27,1.16,0
2025-09-13 15:32:34.105103,5.64,9.74,-1.21,0.0,96.59,986.91,4.9,226.13,43.63,406.05,4.95,0.0,0
2025-09-13 16:32:34.105103,3.67,7.6,-2.46,0.0,89.91,983.59,10.85,260.56,39.14,448.77,1.65,0.0,0
2025-09-13 17:32:34.105103,2.8,9.69,-2.11,0.0,100.0,988.13,10.98,228.88,54.91,269.27,2.8,0.0,0
2025-09-13 18:32:34.105103,2.74,7.49,-1.29,0.0,92.88,992.32,5.95,198.58,48.91,289.09,1.32,0.0,0
2025-09-13 19:32:34.105103,4.42,7.71,0.81,0.0,91.61,993.49,3.99,215.11,43.78,260.05,2.74,0.0,0
2025-09-13 20:32:34.105103,5.86,13.7,-0.22,0.0,85.88,991.44,5.16,243.48,42.44,207.37,3.03,0.0,0
2025-09-13 21:32:34.105103,6.68,14.1,-0.19,0.0,89.47,990.6,3.37,301.12,38.69,153.24,4.58,0.0,0
2025-09-13 22:32:34.105103,9.02,16.66,2.81,0.0,93.34,990.45,6.15,287.69,59.42,107.4,7.69,0.0,0
2025-09-13 23:32:34.105103,8.84,16.82,3.19,0.0,91.31,987.64,2.9,307.68,25.86,142.94,7.11,0.0,0
2025-09-14 00:32:34.105103,13.24,17.11,10.03,0.0,87.04,988.87,5.16,278.84,39.91,58.56,10.64,3.24,0
2025-09-14 01:32:34.105103,11.35,16.34,3.51,0.0,87.58,994.27,7.17,290.8,39.44,0.41,8.87,1.35,0
2025-09-14 02:32:34.105103,18.77,25.56,11.78,0.0,68.33,986.44,5.71,164.17,37.3,194.29,12.44,8.77,1
2025-09-14 03:32:34.105103,15.82,22.3,11.36,0.0,76.61,994.11,3.32,198.42,24.87,214.11,11.15,5.82,0
2025-09-14 04:32:34.105103,13.81,17.58,5.91,0.0,77.38,988.3,8.29,260.02,16.25,365.02,9.29,3.81,0
2025-09-14 05:32:34.105103,13.98,21.06,7.97,0.0,87.68,993.24,4.68,246.09,40.41,244.91,11.52,3.98,0
2025-09-14 06:32:34.105103,17.3,21.42,11.38,0.0,70.07,985.04,4.72,29.95,32.85,386.96,11.31,7.3,0
2025-09-14 07:32:34.105103,15.68,19.8,8.94,0.0,82.95,991.02,6.07,218.16,51.37,324.33,12.27,5.68,0
2025-09-14 08:32:34.105103,16.95,22.64,9.9,0.0,81.03,987.05,3.35,182.79,22.81,460.54,13.16,6.95,0
2025-09-14 09:32:34.105103,15.52,21.48,9.24,0.0,87.87,985.02,4.02,237.07,50.48,396.41,13.09,5.52,0
2025-09-14 10:32:34.105103,13.18,19.09,9.54,0.0,80.17,989.92,7.63,354.63,58.76,385.96,9.22,3.18,0
2025-09-14 11:32:34.105103,10.19,13.65,5.5,0.0,90.28,992.29,2.7,273.24,36.36,496.02,8.25,0.19,0
2025-09-14 12:32:34.105103,7.3,14.69,-0.34,0.0,100.0,986.73,5.53,242.8,32.09,611.28,7.3,0.0,0
2025-09-14 13:32:34.105103,7.88,12.21,3.76,0.0,87.09,984.77,3.46,253.74,34.47,510.25,5.3,0.0,0
2025-09-14 14:32:34.105103,9.04,12.69,4.18,0.0,80.76,988.99,4.07,334.91,35.52,540.74,5.2,0.0,0
2025-09-14 15:32:34.105103,6.52,13.96,1.36,0.0,82.83,989.0,3.27,194.22,42.05,317.37,3.08,0.0,0
2025-09-14 16:32:34.105103,2.64,10.42,-2.55,0.0,100.0,990.91,3.75,326.44,39.09,542.96,2.64,0.0,0
2025-09-14 17:32:34.105103,4.88,12.19,-1.18,0.0,85.26,992.11,4.52,299.92,53.18,371.91,1.93,0.0,0
2025-09-14 18:32:34.105103,5.1,12.15,-2.61,0.0,92.49,989.08,4.37,260.46,30.1,381.19,3.6,0.0,0
2025-09-14 19:32:34.105103,2.77,9.04,-1.44,0.0,100.0,994.83,3.43,268.01,27.61,253.95,2.77,0.0,0
2025-09-14 20:32:34.105103,5.44,11.2,1.83,0.0,94.76,989.94,2.39,259.26,53.45,200.61,4.39,0.0,0
2025-09-14 21:32:34.105103,6.2,9.64,2.22,0.0,94.82,988.22,3.3,261.82,19.66,173.75,5.17,0.0,0
2025-09-14 22:32:34.105103,5.04,10.09,-2.39,0.0,95.54,984.43,3.36,278.7,40.73,144.96,4.15,0.0,0
2025-09-14 23:32:34.105103,9.49,14.36,3.26,0.0,94.15,988.47,6.14,283.16,73.25,48.51,8.32,0.0,0
2025-09-15 00:32:34.105103,11.41,15.71,6.98,0.0,80.12,988.21,3.21,183.9,34.94,0.0,7.44,1.41,0
2025-09-15 01:32:34.105103,14.01,20.63,6.93,0.0,77.6,992.1,3.52,256.96,22.59,136.88,9.53,4.01,0
2025-09-15 02:32:34.105103,15.4,20.88,8.09,0.0,75.04,990.6,7.58,262.26,31.94,181.19,10.41,5.4,0
2025-09-15 03:32:34.105103,11.78,15.18,4.55,0.0,88.48,985.68,3.98,308.06,38.73,236.36,9.48,1.78,0
2025-09-15 04:32:34.105103,13.61,17.71,6.02,0.0,86.08,989.73,5.5,284.74,39.65,241.85,10.83,3.61,0
2025-09-15 05:32:34.105103,17.12,23.53,12.86,0.0,78.58,991.23,3.2,233.3,40.91,216.99,12.83,7.12,0
2025-09-15 06:32:34.105103,17.32,20.7,10.54,0.0,81.94,993.8,7.59,312.74,25.58,469.89,13.71,7.32,0
